#,,,,,,,,,,,,,,全國性公民投票案第7案至第16案各年齡層投票權人人數統計表,,,,,107.11.20,,,,,,,,,,,,,,
#年齡層,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,總計,,,18歲,,,19歲,,,20－29歲,,,30－39歲,,,40－49歲,,,50－59歲,,,60－69歲,,,70－79歲,,,80－89歲,,,90歲以上,
#性別,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#直轄市、,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#縣(市),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女,合計,男,女
總計,"19,757,067","9,723,757","10,033,310","301,380","157,456","143,924","280,663","146,299","134,364","3,155,699","1,638,107","1,517,592","3,665,288","1,833,821","1,831,467","3,699,417","1,820,127","1,879,290","3,637,318","1,787,895","1,849,423","2,908,508","1,396,566","1,511,942","1,323,227","602,932","720,295","654,803","281,181","373,622","130,722","59,350","71,372"
臺北市,"2,228,430","1,045,546","1,182,884","28,170","14,653","13,517","26,552","13,786","12,766","296,218","151,327","144,891","415,373","195,597","219,776","414,538","192,609","221,929","398,317","184,409","213,908","365,198","168,223","196,975","175,846","77,807","98,039","85,658","36,354","49,304","22,560","10,781","11,779"
新北市,"3,375,513","1,633,745","1,741,768","49,429","25,757","23,672","46,169","23,929","22,240","536,128","278,518","257,610","628,332","312,440","315,892","650,799","315,971","334,828","640,829","299,879","340,950","519,970","240,676","279,294","203,657","92,264","111,393","81,756","35,319","46,437","18,444","8,992","9,452"
桃園市,"1,801,823","886,271","915,552","30,840","16,139","14,701","28,312","14,808","13,504","313,925","162,355","151,570","370,228","183,425","186,803","355,566","174,653","180,913","321,190","156,279","164,911","233,322","110,234","123,088","93,911","41,844","52,067","44,184","20,741","23,443","10,345","5,793","4,552"
臺中市,"2,295,642","1,116,994","1,178,648","38,126","19,819","18,307","36,420","18,962","17,458","398,429","205,527","192,902","455,445","225,542","229,903","438,564","209,972","228,592","417,351","199,166","218,185","309,957","147,476","162,481","130,153","59,005","71,148","59,801","25,976","33,825","11,396","5,549","5,847"
臺南市,"1,594,821","790,139","804,682","23,175","12,127","11,048","21,249","11,093","10,156","247,092","128,315","118,777","297,092","150,043","147,049","291,156","143,901","147,255","300,989","149,454","151,535","236,724","117,019","119,705","107,769","49,245","58,524","59,277","24,808","34,469","10,298","4,134","6,164"
高雄市,"2,353,342","1,154,111","1,199,231","35,269","18,336","16,933","31,875","16,495","15,380","364,419","188,961","175,458","425,887","213,733","212,154","450,351","221,350","229,001","432,973","211,662","221,311","366,020","172,252","193,768","163,222","74,217","89,005","70,680","30,880","39,800","12,646","6,225","6,421"
新竹縣,"445,051","226,166","218,885","7,630","3,999","3,631","6,995","3,685","3,310","74,380","39,079","35,301","86,967","43,673","43,294","93,524","47,242","46,282","77,504","40,471","37,033","52,705","26,757","25,948","26,942","12,901","14,041","15,446","7,072","8,374","2,958","1,287","1,671"
苗栗縣,"461,580","237,501","224,079","7,033","3,656","3,377","6,761","3,540","3,221","76,254","40,249","36,005","83,500","43,479","40,021","80,649","42,061","38,588","83,648","44,066","39,582","64,811","33,190","31,621","34,472","16,561","17,911","20,634","9,217","11,417","3,818","1,482","2,336"
彰化縣,"1,066,994","540,577","526,417","17,311","9,139","8,172","16,354","8,564","7,790","180,610","94,245","86,365","201,980","103,954","98,026","185,579","95,783","89,796","186,851","96,581","90,270","149,878","75,532","74,346","76,482","36,131","40,351","44,535","18,188","26,347","7,414","2,460","4,954"
南投縣,"427,089","218,158","208,931","6,467","3,379","3,088","6,146","3,195","2,951","70,090","36,802","33,288","70,404","37,384","33,020","70,950","36,418","34,532","81,870","42,539","39,331","64,940","33,108","31,832","33,507","15,698","17,809","19,366","8,298","11,068","3,349","1,337","2,012"
雲林縣,"584,480","302,636","281,844","9,289","4,925","4,364","8,563","4,516","4,047","89,034","47,047","41,987","99,462","51,755","47,707","103,535","54,940","48,595","105,780","58,933","46,847","83,853","43,928","39,925","50,543","23,396","27,147","29,703","11,717","17,986","4,718","1,479","3,239"
嘉義縣,"442,775","229,954","212,821","6,660","3,587","3,073","6,057","3,168","2,889","68,257","35,931","32,326","69,715","37,076","32,639","74,518","39,232","35,286","84,920","47,082","37,838","66,506","35,092","31,414","37,811","17,394","20,417","24,333","9,981","14,352","3,998","1,411","2,587"
屏東縣,"711,720","362,354","349,366","10,637","5,602","5,035","9,879","5,219","4,660","115,742","60,616","55,126","118,862","62,496","56,366","124,938","64,218","60,720","135,795","70,509","65,286","108,924","53,877","55,047","54,447","25,541","28,906","28,274","12,402","15,872","4,222","1,874","2,348"
宜蘭縣,"386,089","194,160","191,929","5,900","3,111","2,789","5,555","2,954","2,601","65,505","34,289","31,216","64,865","33,363","31,502","68,206","34,446","33,760","72,626","36,928","35,698","55,322","27,400","27,922","28,712","13,397","15,315","16,526","7,126","9,400","2,872","1,146","1,726"
花蓮縣,"278,059","140,192","137,867","4,169","2,174","1,995","4,009","2,102","1,907","45,510","23,660","21,850","46,196","24,210","21,986","50,082","25,427","24,655","52,235","26,745","25,490","42,809","21,080","21,729","20,449","9,160","11,289","10,386","4,510","5,876","2,214","1,124","1,090"
臺東縣,"185,996","95,616","90,380","2,862","1,487","1,375","2,679","1,400","1,279","29,908","15,677","14,231","30,157","16,047","14,110","34,127","18,126","16,001","35,781","19,112","16,669","27,642","13,561","14,081","14,013","6,295","7,718","7,309","3,151","4,158","1,518",760,758
澎湖縣,"90,405","46,430","43,975","1,616",883,733,"1,546",816,730,"15,959","8,617","7,342","16,180","8,189","7,991","15,729","8,112","7,617","15,933","8,508","7,425","12,288","6,306","5,982","6,168","2,880","3,288","4,148","1,794","2,354",838,325,513
金門縣,"122,695","60,846","61,849","1,882",936,946,"1,996","1,012",984,"22,823","11,302","11,521","20,757","10,237","10,520","20,632","10,213","10,419","25,519","12,828","12,691","18,061","9,183","8,878","6,540","3,266","3,274","3,671","1,660","2,011",814,209,605
連江縣,"11,205","6,458","4,747",149,87,62,157,83,74,"2,035","1,176",859,"2,047","1,148",899,"2,052","1,177",875,"2,258","1,384",874,"1,626",972,654,529,292,237,272,108,164,80,31,49
基隆市,"320,030","158,898","161,132","4,889","2,512","2,377","4,397","2,269","2,128","51,679","27,131","24,548","51,261","26,386","24,875","57,585","28,644","28,941","63,829","31,915","31,914","51,576","24,740","26,836","21,887","9,854","12,033","10,653","4,386","6,267","2,274","1,061","1,213"
新竹市,"351,775","171,148","180,627","5,881","3,028","2,853","5,346","2,794","2,552","54,964","28,397","26,567","72,197","34,968","37,229","74,944","36,545","38,399","60,561","30,001","30,560","44,705","21,033","23,672","20,640","8,963","11,677","10,094","4,219","5,875","2,443","1,200","1,243"
嘉義市,"221,553","105,857","115,696","3,997","2,120","1,877","3,646","1,909","1,737","36,751","18,893","17,858","38,383","18,676","19,707","41,400","19,091","22,309","40,565","19,446","21,119","31,672","14,927","16,745","15,533","6,826","8,707","8,100","3,277","4,823","1,506",692,814
,,,,,,,,,,,,,,,,－1－,,,,,,,,,,,,,,,,,
