#全國性公民投票第7案至第16案-投票權人人數確定統計表(直轄市、縣市別),,,
#直轄市/,,,
#,合計,男,女
#縣(市),,,
總計,"19,757,067","9,723,757","10,033,310"
臺北市,"2,228,430","1,045,546","1,182,884"
新北市,"3,375,513","1,633,745","1,741,768"
桃園市,"1,801,823","886,271","915,552"
臺中市,"2,295,642","1,116,994","1,178,648"
臺南市,"1,594,821","790,139","804,682"
高雄市,"2,353,342","1,154,111","1,199,231"
新竹縣,"445,051","226,166","218,885"
苗栗縣,"461,580","237,501","224,079"
彰化縣,"1,066,994","540,577","526,417"
南投縣,"427,089","218,158","208,931"
雲林縣,"584,480","302,636","281,844"
嘉義縣,"442,775","229,954","212,821"
屏東縣,"711,720","362,354","349,366"
宜蘭縣,"386,089","194,160","191,929"
花蓮縣,"278,059","140,192","137,867"
臺東縣,"185,996","95,616","90,380"
澎湖縣,"90,405","46,430","43,975"
金門縣,"122,695","60,846","61,849"
連江縣,"11,205","6,458","4,747"
基隆市,"320,030","158,898","161,132"
新竹市,"351,775","171,148","180,627"
嘉義市,"221,553","105,857","115,696"
